"","Artist.Reputation","Height","Material","Base.Shipping.Price","International","Express.Shipment","Installation.Included","Transport","Fragile","Customer.Information","Weight_log","Price_of_Sculpture_log","Cost_log"
"1",0.26,17,"Medium_segment",16.27,"Yes","Yes","No","Airways","No","Working Class",8.3255483071614,2.63260800593535,5.64647110794309
"2",0.28,3,"Medium_segment",15,"No","No","No","Roadways","No","Working Class",4.11087386417331,1.9213246735827,5.07492378397862
"3",0.07,8,"Low_segment",21.18,"No","No","No","Roadways","Yes","Working Class",5.46806014113513,1.60140574073684,5.03883394845493
"4",0.12,9,"Low_segment",16.31,"No","No","No","unknown","No","Wealthy",8.02731225331902,1.75958057086382,5.08239766032315
"5",0.15,17,"Low_segment",11.94,"Yes","Yes","Yes","Airways","No","Working Class",5.78074351579233,1.15688119679209,5.07034969786833
"6",0.99,46,"Low_segment",16.88,"No","Yes","No","unknown","No","Wealthy",7.07157336421153,1.81807677754543,7.56152733446789
"7",0.64,17,"Medium_segment",90.67,"No","Yes","No","Roadways","No","Working Class",8.89068592028113,2.11142458753289,7.33736650891838
"8",0.74,23,"Low_segment",13.25,"Yes","No","No","Waterways","Yes","Wealthy",8.09773057366422,2.55022611590864,6.046000079756
"9",0,6,"Low_segment",19.76,"Yes","No","No","Waterways","Yes","Working Class",4.68213122712422,1.38128181929635,5.07579862000267
"10",0.12,23,"High_segment",49.25,"No","No","No","Roadways","No","Working Class",12.1819131408125,5.50382633865044,6.72655709097313
"11",0.14,47,"Medium_segment",85.09,"No","No","Yes","unknown","No","Working Class",10.6172703466961,3.6168462512141,6.48105631986558
"12",0.29,32,"High_segment",56.04,"No","No","Yes","Airways","No","Working Class",8.02731225331902,7.49607513504592,8.3204432442101
"13",0.26,13,"Medium_segment",20.72,"No","Yes","No","Airways","No","Working Class",7.3356339819272,1.76985463384001,5.24744503617428
"14",0.54,26,"Low_segment",17.55,"No","Yes","Yes","unknown","No","Working Class",8.02731225331902,1.86717610851281,5.81407082855032
"15",0.69,21,"Medium_segment",16.43,"Yes","No","Yes","Waterways","No","Working Class",8.28248300373056,2.64119789411437,5.88532595104631
"17",0.27,10,"High_segment",28.18,"Yes","No","No","Waterways","No","Working Class",9.385049695768,3.3833727967496,5.79666546880291
"18",0.1,37,"High_segment",64.64,"No","No","No","Roadways","Yes","Working Class",12.3861541953808,6.64895864295344,7.56231754422651
"19",0.11,19,"Medium_segment",82.84,"No","Yes","No","Roadways","No","Wealthy",8.98419231164167,1.96009478404727,6.05359391857353
"20",0.54,20,"High_segment",86.65,"No","No","Yes","Roadways","No","Wealthy",11.0837259100842,5.1062484582992,7.21089969094046
"21",0.59,20,"unknown",15.76,"No","Yes","No","unknown","No","Wealthy",5.28826703069454,1.71559810826249,5.76437572343149
"22",0.11,20,"High_segment",46.56,"Yes","No","Yes","Waterways","No","Working Class",12.2872792909499,5.57226809411352,6.5638414220603
"23",0.66,9,"Low_segment",10.48,"No","No","No","Roadways","No","Working Class",5.21493575760899,1.93152141160321,5.49966510549179
"24",0.57,29,"High_segment",30.87,"Yes","Yes","Yes","Airways","No","Working Class",13.5221725206563,8.13268298765446,10.5886207063955
"25",0.43,24,"High_segment",91.58,"Yes","No","No","Waterways","No","Working Class",12.4744266280751,7.35378634883696,7.73924600516365
"26",0.45,10,"unknown",19.61,"Yes","No","No","Waterways","No","Working Class",5.15905529921453,1.89160480419777,5.63178509414895
"27",0.2,25,"Medium_segment",93.59,"No","No","No","Waterways","No","Working Class",8.97474461272273,2.14710019015365,6.30592851149989
"28",0.47,28,"Low_segment",19.83,"No","No","Yes","Roadways","No","Working Class",6.89264164117209,1.91102289005487,5.91840986620207
"29",0.51,16,"unknown",59.22,"No","No","Yes","unknown","No","Wealthy",11.062253764024,5.01853732399211,6.99150801904351
"30",0.67,17,"Low_segment",11.04,"No","No","No","unknown","No","Wealthy",5.2040066870768,1.79175946922805,5.63557500894309
"31",0.56,20,"High_segment",99.06,"No","Yes","No","Airways","No","Working Class",10.8958871106626,5.09332066071486,7.21430571891586
"32",0.25,10,"High_segment",18.35,"Yes","Yes","Yes","Airways","No","Wealthy",8.49699048409872,3.25153660710775,5.88309952242986
"33",0.31,13,"Low_segment",24.67,"No","No","Yes","Airways","No","Working Class",6.10702288774225,1.59127394180643,5.36667670406138
"34",0.57,6,"unknown",22.24,"No","No","No","unknown","Yes","Wealthy",4.36944785246702,1.54968790802833,5.48678665392823
"35",0.01,20,"unknown",22.49,"Yes","No","No","Waterways","No","Working Class",4.47733681447821,1.87333945622048,4.85499461588363
"36",0.68,8,"Low_segment",20.36,"Yes","No","No","Waterways","Yes","Working Class",5.70711026474888,1.47704872438835,5.63628847929299
"37",0.23,16,"Low_segment",13.82,"Yes","No","No","Airways","No","Wealthy",5.8805329864007,1.18172719537862,5.18917191928724
"38",0.52,36,"Low_segment",17,"No","No","Yes","Roadways","No","Working Class",6.38519439899773,1.35066718347674,5.66497234386911
"39",0.59,22,"Medium_segment",89.55,"Yes","No","Yes","Waterways","No","Working Class",9.6832148763136,4.60035862899087,8.49601654058191
"40",0.01,16,"Low_segment",22.03,"No","No","No","unknown","Yes","Working Class",6.90975328164481,1.42310833424261,5.05177723742743
"41",0.93,29,"Medium_segment",78.75,"Yes","No","No","Airways","No","Working Class",8.95635094049087,3.19006474301408,7.98784711801287
"42",0.58,20,"Low_segment",19.83,"No","No","No","unknown","No","Working Class",4.26267987704132,1.45395300959371,5.32393637916566
"43",0.86,49,"Medium_segment",81.85,"Yes","No","Yes","Waterways","No","Working Class",12.1904157129541,4.75617305952462,8.58763860744939
"44",0.27,6,"unknown",15.04,"No","No","Yes","Roadways","No","Wealthy",5.87211778947542,1.14422279992016,5.19860752239902
"45",0.17,20,"Medium_segment",11.07,"No","No","No","unknown","No","Working Class",8.20767442435528,1.63510565918268,5.02539253507116
"46",0.54,36,"Medium_segment",48.17,"No","No","Yes","unknown","No","Working Class",11.0299743779702,4.12066187053947,7.45676068971029
"47",0.07,9,"Low_segment",11.75,"No","No","Yes","Roadways","Yes","Working Class",4.30406509320417,1.91250108692418,4.92631121218354
